"partid","CCTncards","CCTacards","CCTratio","CCTaratio","CCTpayoff"
64059001,216,137,0.11943611,0.10088945,34.880952
64060701,160,86,0.094987747,0.068321874,67.142857
64061701,301,154,0.15391942,0.14596015,40.416667
64061901,557,237,0.26992346,0.38926585,91.369048
64063501,397,186,0.18655589,0.18490025,66.130952
64063601,375,247,0.16650776,0.18197499,52.142857
64066601,289,211,0.14367851,0.15636863,46.488095
64067701,497,269,0.23322458,0.31632464,24.404762
64068201,308,172,0.1319006,0.12328607,-20.714286
64069001,302,119,0.14864011,0.10765465,77.5
64069401,458,190,0.20497859,0.2048124,61.547619
64069501,325,125,0.16994153,0.14133087,65.952381
64069601,297,206,0.14700156,0.14117332,71.904762
64070201,438,113,0.21163105,0.15586763,39.345238
64070601,425,209,0.20636037,0.28465028,20.77381
64071401,441,312,0.17870694,0.1894458,66.964286
64072601,198,153,0.10964381,0.10001609,48.630952
64072701,577,179,0.27326727,0.37978541,55.059524
64072901,359,119,0.17157758,0.14941701,12.440476
64073001,459,184,0.20983417,0.2986491,-13.809524
64073201,395,194,0.16817809,0.12837719,77.916667
64073501,528,275,0.23968659,0.31547285,76.190476
64075601,178,142,0.075177275,0.069233803,2.6190476
64075801,630,253,0.28221591,0.41684124,55.119048
64076301,428,193,0.20123547,0.23600161,42.440476
64079401,212,0,0.11061495,0,99.107143
64079601,532,284,0.23704863,0.29024744,96.666667
64079801,381,223,0.18419132,0.19387149,38.630952
64080101,550,146,0.25100079,0.40452354,-26.964286
64081701,307,111,0.16076939,0.10812014,75
64082001,208,65,0.11316536,0.061340766,34.702381
64082301,557,278,0.22741032,0.22070609,26.72619
64083001,352,195,0.17131715,0.16455214,35.47619
64083901,497,229,0.23236033,0.30571005,55.178571
64084601,436,172,0.21229858,0.29632862,-14.940476
64085501,365,165,0.17985695,0.15712692,75
64086301,493,228,0.21793723,0.29340369,-21.964286
64088601,462,155,0.19973027,0.14186747,103.69048
64089401,457,163,0.2097096,0.25854851,8.3333333
64089701,563,273,0.25529967,0.34845114,24.047619
64090101,348,118,0.17099091,0.15635581,28.27381
64090301,204,86,0.090212946,0.062322553,-8.6309524
64090901,358,110,0.1538968,0.073351059,112.20238
64092901,356,154,0.16639934,0.14492293,59.583333
64093501,388,184,0.18266857,0.20348578,24.761905
64094201,506,246,0.22120734,0.25778873,-7.202381
64096601,520,318,0.22196485,0.27493506,47.5
64098201,467,231,0.20794429,0.25919133,31.130952
64099201,509,156,0.21512113,0.19018734,50.654762
64100101,279,91,0.12288262,0.069806472,35.119048
64100701,206,99,0.082846782,0.051120709,33.690476
64100901,513,283,0.24139494,0.37374276,50.059524
64101101,599,203,0.26215283,0.43035349,-5.3571429
