enumerator_code,id,education,male,T_R,T_B,T_H,a1,a2,a3,a4,a5,RA,risktime,consistency,RA_all,age,sufficient_money,gamma,pay,school_code
6,49,13,0,0,0,1,1,0,0,0,0,1,4.5217886,1,1,31,1,1,0,10
4,50,7,1,0,1,0,1,0,0,0,0,1,5.1239638,1,1,29,1,1,1,10
7,54,7,0,0,0,1,1,0,0,0,0,1,4.6634393,1,1,27,0,1,0,10
11,55,8,0,1,0,0,0,0,0,0,0,0,4.7874918,1,0,26,1,1,2,10
3,56,7,0,0,0,1,0,1,0,1,0,,4.9628448,0,2,39,0,.5,0,10
5,57,9,1,1,0,0,1,1,1,0,0,3,4.8283138,1,3,32,1,1,2,10
2,58,13,0,0,0,1,1,1,0,0,0,2,6.3969297,1,2,30,1,1,0,10
4,59,13,0,0,1,0,1,0,1,0,0,,5.0238805,0,2,24,1,.82999998,1,10
10,60,9,0,1,0,0,1,0,1,1,0,,4.9904327,0,3,23,1,.67000002,2,10
4,61,12,1,0,1,0,1,1,1,0,0,3,5.866468,1,3,29,1,1,1,10
4,62,10,0,0,0,1,0,1,1,1,0,,5.6204009,0,3,31,0,.5,0,12
8,64,15,1,0,0,1,1,1,1,1,0,4,4.6443911,1,4,45,1,1,0,10
12,65,9,0,0,1,0,0,0,0,0,0,0,4.7874918,1,0,33,1,1,1,10
4,66,10,0,0,1,0,1,1,1,1,1,5,5.1179938,1,5,24,1,1,1,10
12,67,10,1,0,1,0,1,1,0,0,0,2,4.7874918,1,2,69,0,1,1,10
8,68,15,0,0,0,1,1,1,1,1,1,5,4.7273879,1,5,36,1,1,0,10
11,69,15,1,0,0,1,1,1,1,0,0,3,4.7874918,1,3,30,1,1,0,10
3,70,15,0,0,1,0,0,1,0,0,0,,5.0434251,0,1,27,1,.75,1,10
2,74,5,1,1,0,0,1,1,1,0,0,3,5.480639,1,3,28,1,1,2,10
7,76,7,1,0,1,0,0,0,0,0,0,0,4.1431346,1,0,33,1,1,1,10
5,77,8,1,0,1,0,1,1,0,0,0,2,5.1059456,1,2,28,1,1,1,10
2,78,12,0,0,1,0,1,1,1,0,0,3,5.1929569,1,3,30,1,1,1,10
11,79,6,0,1,0,0,0,0,0,0,0,0,5.1929569,1,0,35,1,1,2,10
2,81,11,0,0,0,1,1,0,0,0,0,1,5.1929569,1,1,30,1,1,0,10
6,82,13,0,0,1,0,1,0,0,0,0,1,4.7874918,1,1,28,1,1,1,10
4,83,5,0,1,0,0,1,1,0,0,0,2,4.7004805,1,2,28,1,1,2,10
13,84,7,0,0,0,1,1,1,1,0,0,3,5.480639,1,3,29,1,1,0,10
7,86,16,1,0,0,1,1,0,1,1,0,,4.8283138,0,3,27,1,.67000002,0,10
9,87,13,0,0,1,0,1,1,0,0,0,2,4.7874918,1,2,26,1,1,1,10
9,88,7,0,0,1,0,0,0,0,0,0,0,4.7874918,1,0,28,1,1,1,10
7,89,8,1,0,1,0,0,0,0,0,0,0,4.7791233,1,0,50,1,1,1,10
12,90,13,0,1,0,0,1,1,1,1,0,4,5.480639,1,4,38,1,1,2,10
11,91,7,0,1,0,0,1,0,0,0,0,1,5.480639,1,1,51,1,1,2,12
12,92,13,0,1,0,0,0,1,0,0,0,,5.1929569,0,1,26,1,.75,2,12
7,93,7,0,0,0,1,1,1,1,1,0,4,4.4773369,1,4,39,1,1,0,12
6,94,7,0,0,1,0,1,0,0,0,0,1,5.0689044,1,1,30,0,1,1,12
2,95,7,0,0,0,1,1,0,0,0,0,1,6.5792513,1,1,33,1,1,0,12
5,96,8,0,0,1,0,1,0,0,0,0,1,5.2040067,1,1,49,1,1,1,12
6,97,6,0,0,1,0,1,0,1,0,0,,5.6383548,0,2,23,1,.82999998,1,12
